P,value
v1g_ID135,v1g
v1g_ID136,v1g
v1g_ID137,v1g
v1g_ID138,v1g
v1g_ID139,v1g
v1g_ID140,v1g
v1g_ID141,v1g
v1g_ID142,v1g
v1g_ID143,v1g
v1g_ID144,v1g
v1g_ID145,v1g
v1g_ID146,v1g
v1g_ID147,v1g
v1g_ID148,v1g
v1g_ID149,v1g
v1g_ID150,v1g
v1g_ID151,v1g
v1g_ID152,v1g
v1g_ID153,v1g
v1g_ID154,v1g
v1g_ID155,v1g
v1g_ID156,v1g
v1g_ID157,v1g
v1g_ID158,v1g
v1g_ID159,v1g
v1g_ID160,v1g
v1g_ID161,v1g
v1g_ID162,v1g
v1g_ID163,v1g
v1g_ID164,v1g
v1g_ID165,v1g
v1g_ID166,v1g
v1g_ID167,v1g
v1g_ID168,v1g
v1g_ID169,v1g
v1g_ID170,v1g
v1g_ID171,v1g
v1g_ID172,v1g
v1g_ID173,v1g
v1g_ID174,v1g
v1g_ID175,v1g
v1g_ID176,v1g
v1g_ID177,v1g
v1g_ID178,v1g
v1g_ID179,v1g
v1g_ID180,v1g
v1g_ID181,v1g
v1g_ID182,v1g
v1g_ID183,v1g
v1g_ID184,v1g
v1g_ID185,v1g
v1g_ID186,v1g
v1g_ID187,v1g
v1g_ID188,v1g
v1g_ID189,v1g
v1g_ID190,v1g
v1g_ID191,v1g
v1g_ID192,v1g
v1g_ID193,v1g
v1g_ID194,v1g
v1g_ID195,v1g
v1g_ID196,v1g
v1g_ID197,v1g
v1g_ID198,v1g
v1g_ID199,v1g
v1g_ID200,v1g
v1g_ID201,v1g
v1g_ID202,v1g
v1g_ID203,v1g
v1g_ID204,v1g
v1g_ID205,v1g
v1g_ID206,v1g
v1g_ID207,v1g
v1g_ID208,v1g
v1g_ID209,v1g
v1g_ID210,v1g
v1g_ID211,v1g
v1g_ID212,v1g
v1g_ID213,v1g
v1g_ID214,v1g
v1g_ID215,v1g
v1g_ID216,v1g
v1g_ID217,v1g
v1g_ID218,v1g
v1g_ID219,v1g
v1g_ID220,v1g
v1g_ID221,v1g
v1g_ID222,v1g
v1g_ID223,v1g
v1g_ID224,v1g
v1g_ID225,v1g
v1g_ID226,v1g
v1g_ID227,v1g
v1g_ID228,v1g
v1g_ID229,v1g
v1g_ID230,v1g
v1g_ID231,v1g
v1g_ID232,v1g
v1g_ID233,v1g
v1g_ID234,v1g
v1g_ID235,v1g
v1g_ID236,v1g
v1g_ID237,v1g
v1g_ID238,v1g
v1g_ID239,v1g
v1g_ID240,v1g
v1g_ID241,v1g
v1g_ID242,v1g
v1g_ID243,v1g
v1g_ID244,v1g
v1g_ID245,v1g
v1g_ID246,v1g
v1g_ID247,v1g
v1g_ID248,v1g
v1g_ID249,v1g
v1g_ID250,v1g
v1g_ID251,v1g
v1g_ID252,v1g
v1g_ID253,v1g
v1g_ID254,v1g
v1g_ID255,v1g
v1g_ID256,v1g
v1g_ID257,v1g
v1g_ID258,v1g
v1g_ID259,v1g
v1g_ID260,v1g
v1g_ID261,v1g
v1g_ID262,v1g
v1g_ID263,v1g
v1g_ID264,v1g
v1g_ID265,v1g
v1g_ID266,v1g
v1g_ID267,v1g
v1g_ID268,v1g
v1g_ID269,v1g
v1g_ID270,v1g
v1g_ID271,v1g
v1g_ID272,v1g
v1g_ID273,v1g
v1g_ID274,v1g
v1g_ID275,v1g
v1g_ID276,v1g
v1g_ID277,v1g
v1g_ID278,v1g
v1g_ID279,v1g
v1g_ID280,v1g
v1g_ID281,v1g
v1g_ID282,v1g
v1g_ID283,v1g
v1g_ID284,v1g
v1g_ID285,v1g
v1g_ID286,v1g
v1g_ID287,v1g
v1g_ID288,v1g
v1g_ID289,v1g
v1g_ID290,v1g
v1g_ID291,v1g
v1g_ID292,v1g
v1g_ID293,v1g
v1g_ID294,v1g
v1g_ID295,v1g
v1g_ID296,v1g
v1g_ID297,v1g
v1g_ID298,v1g
v1g_ID299,v1g
v1g_ID300,v1g
v1g_ID67,v1g
v1g_ID68,v1g
v1g_ID69,v1g
v1g_ID70,v1g
v1g_ID71,v1g
v1g_ID72,v1g
v1g_ID73,v1g
v1g_ID74,v1g
v1g_ID75,v1g
v1g_ID76,v1g
v1g_ID77,v1g
v1g_ID78,v1g
v1g_ID79,v1g
v1g_ID80,v1g
v1g_ID81,v1g
v1g_ID82,v1g
v1g_ID83,v1g
v1g_ID84,v1g
v1g_ID85,v1g
v1g_ID86,v1g
v1g_ID87,v1g
v1g_ID88,v1g
v1g_ID89,v1g
v1g_ID90,v1g
v1g_ID91,v1g
v1g_ID92,v1g
v1g_ID93,v1g
v1g_ID94,v1g
v1g_ID95,v1g
v1g_ID96,v1g
v1g_ID97,v1g
v1g_ID98,v1g
v1g_ID99,v1g
